#CODIGO,DESCRICAO,UF
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","BA"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","AP"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","AM"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","AL"
"0301","POUPANÇA RURAL - CONTROLADOS - CONDIÇÕES MCR 6.2","AC"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","TO"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","SP"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","SE"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","SC"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","RS"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","RR"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","RO"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","RN"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","RJ"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","PR"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","PI"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","PE"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","PB"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","PA"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","MT"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","MS"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","MG"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","MA"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","GO"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","ES"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","DF"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","CE"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","BA"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","AP"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","AM"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","AL"
"0302","POUPANÇA RURAL - CONTROLADOS - FATOR DE PONDERAÇÃO","AC"
"0303","POUPANÇA RURAL - LIVRE","TO"
"0303","POUPANÇA RURAL - LIVRE","SP"
"0303","POUPANÇA RURAL - LIVRE","SE"
"0303","POUPANÇA RURAL - LIVRE","SC"
"0303","POUPANÇA RURAL - LIVRE","RS"
"0303","POUPANÇA RURAL - LIVRE","RR"
"0303","POUPANÇA RURAL - LIVRE","RO"
"0303","POUPANÇA RURAL - LIVRE","RN"
"0303","POUPANÇA RURAL - LIVRE","RJ"
"0303","POUPANÇA RURAL - LIVRE","PR"
"0303","POUPANÇA RURAL - LIVRE","PI"
"0303","POUPANÇA RURAL - LIVRE","PE"
"0303","POUPANÇA RURAL - LIVRE","PB"
"0303","POUPANÇA RURAL - LIVRE","PA"
"0303","POUPANÇA RURAL - LIVRE","MT"
"0303","POUPANÇA RURAL - LIVRE","MS"
"0303","POUPANÇA RURAL - LIVRE","MG"
"0303","POUPANÇA RURAL - LIVRE","MA"
"0303","POUPANÇA RURAL - LIVRE","GO"
"0303","POUPANÇA RURAL - LIVRE","ES"
"0303","POUPANÇA RURAL - LIVRE","DF"
"0303","POUPANÇA RURAL - LIVRE","CE"
"0303","POUPANÇA RURAL - LIVRE","BA"
"0303","POUPANÇA RURAL - LIVRE","AP"
"0303","POUPANÇA RURAL - LIVRE","AM"
"0303","POUPANÇA RURAL - LIVRE","AL"
"0303","POUPANÇA RURAL - LIVRE","AC"
"0402","RECURSOS LIVRES","TO"
"0402","RECURSOS LIVRES","SP"
"0402","RECURSOS LIVRES","SE"
"0402","RECURSOS LIVRES","SC"
"0402","RECURSOS LIVRES","RS"
"0402","RECURSOS LIVRES","RR"
"0402","RECURSOS LIVRES","RO"
"0402","RECURSOS LIVRES","RN"
"0402","RECURSOS LIVRES","RJ"
"0402","RECURSOS LIVRES","PR"
"0402","RECURSOS LIVRES","PI"
"0402","RECURSOS LIVRES","PE"
"0402","RECURSOS LIVRES","PB"
"0402","RECURSOS LIVRES","PA"
"0402","RECURSOS LIVRES","MT"
"0402","RECURSOS LIVRES","MS"
"0402","RECURSOS LIVRES","MG"
"0402","RECURSOS LIVRES","MA"
"0402","RECURSOS LIVRES","GO"
"0402","RECURSOS LIVRES","ES"
"0402","RECURSOS LIVRES","DF"
"0402","RECURSOS LIVRES","CE"
"0402","RECURSOS LIVRES","BA"
"0402","RECURSOS LIVRES","AP"
"0402","RECURSOS LIVRES","AM"
"0402","RECURSOS LIVRES","AL"
"0402","RECURSOS LIVRES","AC"
"0405","FUNDO DE COMMODITIES","TO"
"0405","FUNDO DE COMMODITIES","SP"
"0405","FUNDO DE COMMODITIES","SE"
"0405","FUNDO DE COMMODITIES","SC"
"0405","FUNDO DE COMMODITIES","RS"
"0405","FUNDO DE COMMODITIES","RR"
"0405","FUNDO DE COMMODITIES","RO"
"0405","FUNDO DE COMMODITIES","RN"
"0405","FUNDO DE COMMODITIES","RJ"
"0405","FUNDO DE COMMODITIES","PR"
"0405","FUNDO DE COMMODITIES","PI"
"0405","FUNDO DE COMMODITIES","PE"
"0405","FUNDO DE COMMODITIES","PB"
"0405","FUNDO DE COMMODITIES","PA"
"0405","FUNDO DE COMMODITIES","MT"
"0405","FUNDO DE COMMODITIES","MS"
"0405","FUNDO DE COMMODITIES","MG"
"0405","FUNDO DE COMMODITIES","MA"
"0405","FUNDO DE COMMODITIES","GO"
"0405","FUNDO DE COMMODITIES","ES"
"0405","FUNDO DE COMMODITIES","DF"
"0405","FUNDO DE COMMODITIES","CE"
"0405","FUNDO DE COMMODITIES","BA"
"0405","FUNDO DE COMMODITIES","AP"
"0405","FUNDO DE COMMODITIES","AM"
"0405","FUNDO DE COMMODITIES","AL"
"0405","FUNDO DE COMMODITIES","AC"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","TO"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","RR"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","RO"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","PA"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","MT"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","MA"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","AP"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","AM"
"0501","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORTE (FNO)","AC"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","SE"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","RN"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","PI"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","PE"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","PB"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","MG"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","MA"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","ES"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","CE"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","BA"
"0502","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO NORDESTE (FNE)","AL"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)","MT"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)","MS"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)","GO"
"0503","FUNDO CONSTITUCIONAL DE FINANCIAMENTO DO CENTRO-OESTE (FCO)","DF"
"0505","BNDES/FINAME - EQUALIZÁVEL","TO"
"0505","BNDES/FINAME - EQUALIZÁVEL","SP"
"0505","BNDES/FINAME - EQUALIZÁVEL","SE"
"0505","BNDES/FINAME - EQUALIZÁVEL","SC"
"0505","BNDES/FINAME - EQUALIZÁVEL","RS"
"0505","BNDES/FINAME - EQUALIZÁVEL","RR"
"0505","BNDES/FINAME - EQUALIZÁVEL","RO"
"0505","BNDES/FINAME - EQUALIZÁVEL","RN"
"0505","BNDES/FINAME - EQUALIZÁVEL","RJ"
"0505","BNDES/FINAME - EQUALIZÁVEL","PR"
"0505","BNDES/FINAME - EQUALIZÁVEL","PI"
"0505","BNDES/FINAME - EQUALIZÁVEL","PE"
"0505","BNDES/FINAME - EQUALIZÁVEL","PB"
"0505","BNDES/FINAME - EQUALIZÁVEL","PA"
"0505","BNDES/FINAME - EQUALIZÁVEL","MT"
"0505","BNDES/FINAME - EQUALIZÁVEL","MS"
"0505","BNDES/FINAME - EQUALIZÁVEL","MG"
"0505","BNDES/FINAME - EQUALIZÁVEL","MA"
"0505","BNDES/FINAME - EQUALIZÁVEL","GO"
"0505","BNDES/FINAME - EQUALIZÁVEL","ES"
"0505","BNDES/FINAME - EQUALIZÁVEL","DF"
"0505","BNDES/FINAME - EQUALIZÁVEL","CE"
"0505","BNDES/FINAME - EQUALIZÁVEL","BA"
"0505","BNDES/FINAME - EQUALIZÁVEL","AP"
"0505","BNDES/FINAME - EQUALIZÁVEL","AM"
"0505","BNDES/FINAME - EQUALIZÁVEL","AL"
"0505","BNDES/FINAME - EQUALIZÁVEL","AC"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","TO"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","SP"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","SE"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","SC"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","RS"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","RR"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","RO"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","RN"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","RJ"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","PR"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","PI"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","PE"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","PB"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","PA"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","MT"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","MS"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","MG"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","MA"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","GO"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","ES"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","DF"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","CE"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","BA"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","AP"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","AM"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","AL"
"0650","FAT - FUNDO DE AMPARO AO TRABALHADOR","AC"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","TO"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","SP"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","SE"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","SC"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","RS"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","RR"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","RO"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","RN"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","RJ"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","PR"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","PI"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","PE"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","PB"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","PA"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","MT"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","MS"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","MG"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","MA"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","GO"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","ES"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","DF"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","CE"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","BA"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","AP"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","AM"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","AL"
"0800","FUNCAFE-FUNDO DE DEFESA DA ECONOMIA CAFEEIRA","AC"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","TO"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","SP"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","SE"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","SC"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","RS"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","RR"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","RO"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","RN"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","RJ"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","PR"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","PI"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","PE"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","PB"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","PA"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","MT"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","MS"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","MG"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","MA"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","GO"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","ES"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","DF"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","CE"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","BA"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","AP"
"0520","FUNDO DE TERRAS E DA REFORMA AGRÁRIA","AM"
