#EMPREENDIMENTO,CODIGO_TIPO_AGROPECUARIA,TIPO_AGROPECUARIA,CODIGO_TIPO_INTEGRACAO_CONSORCIO,TIPO_INTEGRACAO_CONSORCIO,CODIGO_GRAO_SEMENTE,GRAO_SEMENTE,CODIGO_TIPO_IRRIGACAO,TIPO_IRRIGACAO,CODIGO_TIPO_CULTIVO_EXPLORACAO,TIPO_CULTIVO_EXPLORACAO,CODIGO_FASE_CICLO_PRODUCAO,FASE_CICLO_PRODUCAO,CODIGO_ANTIGO
"12014720000051","*","*","*","*","*","*","*","*","*","*","*","*","11245500"
"12014720000011","*","*","*","*","*","*","*","*","*","*","*","*","11245500"
"12014720235842","*","*","1","Consórcio","*","*","01","Não Irrigado","*","*","*","*","11245885"
"12014720286042","*","*","*","*","*","*","01","Não Irrigado","*","*","*","*","11245445"
"12015880371041","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
"11175880000408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"22955860071408","*","*","*","*","*","*","*","*","*","*","*","*","11123321"
"12961220000042","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"12964460000042","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"23145555108408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"23143456332408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"14034640351408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"22605830888408","*","*","*","*","*","*","*","*","*","*","*","*","63623534"
"22605830888408","*","*","*","*","*","*","*","*","18","Criação em Tanques Redes/Fluxo Contínuo","51","Cria ou Multiplicação","63623534"
"12017280470051","*","*","*","*","*","*","*","*","*","*","*","*","11340833"
"12017280472051","*","*","*","*","*","*","*","*","*","*","*","*","11340833"
"13147690990408","*","*","*","*","*","*","*","*","*","*","*","*","30060006"
"13143550990408","*","*","*","*","*","*","*","*","15","CULTIVO PROTEGIDO","*","*","30060003"
"13140850990408","*","*","*","*","*","*","*","*","*","*","*","*","30060006"
"14033920000408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12011880000042","*","*","*","*","4","Erro","*","*","*","*","*","*","11101008"
"23146789789408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"23105640330408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"23149876000408","*","*","*","*","*","*","*","*","*","*","*","*","34353663"
"13417890000408","*","*","*","*","*","*","*","*","*","*","*","*","91416013"
"12014660448002","*","*","*","*","4","Erro","*","*","*","*","*","*","35366364"
"12014660448003","*","*","*","*","4","Erro","*","*","*","*","*","*","35366364"
"23417890000408","*","*","*","*","*","*","*","*","*","*","*","*","91436013"
"11253380000408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"22505860071408","*","*","*","*","*","*","*","*","*","*","*","*","63623534"
"12015890000442","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"23703180110408","*","*","*","*","*","*","*","*","*","*","*","*","30060006"
"12010900990051","*","*","*","*","*","*","10","Inundação","*","*","*","*","11045528"
"12013920000053","*","*","*","*","*","*","*","*","*","*","*","*","33566362"
"23607625000002","*","*","*","*","*","*","*","*","*","*","*","*","63610004"
"12015000480051","*","*","*","*","*","*","*","*","*","*","*","*","11260114"
"12015000485051","*","*","*","*","*","*","*","*","*","*","*","*","11260114"
"12016260000053","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12014760000053","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"21251300074002","*","*","*","*","*","*","*","*","*","*","*","*","73210004"
"12013560000023","*","*","*","*","*","*","*","*","*","*","*","*","11155023"
"12013560000021","*","*","*","*","*","*","*","*","*","*","*","*","11270128"
"12014720000053","*","*","*","*","*","*","*","*","*","*","*","*","11245500"
"12010020000053","*","*","*","*","*","*","*","*","*","*","*","*","11001555"
"12010140000053","*","*","*","*","*","*","*","*","*","*","*","*","11014559"
"12010160000053","*","*","*","*","*","*","*","*","*","*","*","*","11016502"
"12010300000053","*","*","*","*","*","*","*","*","*","*","*","*","11017556"
"12010460000053","*","*","*","*","*","*","*","*","*","*","*","*","11023557"
"12010480000053","*","*","*","*","*","*","*","*","*","*","*","*","11029551"
"12010560176053","*","*","*","*","*","*","*","*","*","*","*","*","11030760"
"12010640000453","*","*","*","*","*","*","*","*","*","*","*","*","11040516"
"12010940000053","*","*","*","*","*","*","*","*","*","*","*","*","11047557"
"12011000414053","*","*","*","*","*","*","*","*","*","*","*","*","11050551"
"12011000000053","*","*","*","*","*","*","*","*","*","*","*","*","11050551"
"12011420000053","*","*","*","*","*","*","*","*","*","*","*","*","11080002"
"12011580000053","*","*","*","*","*","*","*","*","*","*","*","*","11085557"
"12012680000053","*","*","*","*","*","*","*","*","*","*","*","*","11133557"
"12011780169053","*","*","*","*","*","*","*","*","*","*","*","*","11090119"
"12016041000053","*","*","*","*","*","*","*","*","*","*","*","*","11286002"
"12013480000053","*","*","*","*","*","*","*","*","*","*","*","*","11147505"
"12013400000053","*","*","*","*","*","*","*","*","*","*","*","*","11150554"
"12013540000053","*","*","*","*","*","*","*","*","*","*","*","*","11154000"
"12013650000053","*","*","*","*","*","*","*","*","*","*","*","*","11170503"
"12013680000053","*","*","*","*","*","*","*","*","*","*","*","*","11175553"
"12013740000053","*","*","*","*","*","*","*","*","*","*","*","*","11180555"
"12013840000053","*","*","*","*","*","*","*","*","*","*","*","*","11191001"
"12013940000053","*","*","*","*","*","*","*","*","*","*","*","*","11200552"
"12014300000053","*","*","*","*","*","*","*","*","*","*","*","*","11213556"
"12014340000053","*","*","*","*","*","*","*","*","*","*","*","*","11216553"
"12014600000053","*","*","*","*","*","*","*","*","*","*","*","*","11225001"
"12014815000453","*","*","*","*","*","*","*","*","*","*","*","*","11251006"
"12014820000053","*","*","*","*","*","*","*","*","*","*","*","*","11254003"
"12015110322053","*","*","*","*","*","*","*","*","*","*","*","*","11272559"
"12015130000053","*","*","*","*","*","*","*","*","*","*","*","*","20015005"
"12015140000053","*","*","*","*","*","*","*","*","*","*","*","*","11274557"
"12015220000053","*","*","*","*","*","*","*","*","*","*","*","*","11278553"
"12015620000053","*","*","*","*","*","*","*","*","*","*","*","*","11282556"
"12014640000053","*","*","*","*","*","*","*","*","*","*","*","*","11233653"
"12015660255053","*","*","*","*","*","*","*","*","*","*","*","*","11293662"
"12016010000053","*","*","*","*","*","*","*","*","*","*","*","*","11291217"
"12016080000053","*","*","*","*","*","*","*","*","*","*","*","*","11289559"
"12016200000053","*","*","*","*","*","*","*","*","*","*","*","*","11288550"
"12016360000053","*","*","*","*","*","*","*","*","*","*","*","*","11299556"
"12016565000053","*","*","*","*","*","*","*","*","*","*","*","*","11001005"
"12016640063053","*","*","*","*","*","*","*","*","*","*","*","*","11075505"
"12016640213053","*","*","*","*","*","*","*","*","*","*","*","*","11345534"
"12016660000053","*","*","*","*","*","*","*","*","*","*","*","*","11309570"
"12016740000053","*","*","*","*","*","*","*","*","*","*","*","*","11315557"
"12016780000053","*","*","*","*","*","*","*","*","*","*","*","*","11317555"
"12016960000053","*","*","*","*","*","*","*","*","*","*","*","*","11322557"
"12017100000053","*","*","*","*","*","*","*","*","*","*","*","*","11325554"
"12017140000053","*","*","*","*","8","Grão","*","*","*","*","*","*","11326553"
"12017140000053","*","*","*","*","3","Semente","*","*","*","*","*","*","11326577"
"12017240000053","*","*","*","*","*","*","*","*","*","*","*","*","11337559"
"12014140000053","*","*","*","*","*","*","*","*","*","*","*","*","11215554"
"12017280213052","*","*","*","*","*","*","*","*","*","*","*","*","11340553"
"12017280213053","*","*","*","*","*","*","*","*","*","*","*","*","11340553"
"12116550451002","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12965080000013","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12965080000012","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12966720000013","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12966720000012","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12014920213052","*","*","*","*","*","*","*","*","*","*","*","*","11253554"
"12014920213053","*","*","*","*","*","*","*","*","*","*","*","*","11253554"
"11174700000408","*","*","*","*","*","*","*","*","*","*","*","*","38240007"
"12017280213042","*","*","*","*","*","*","*","*","*","*","*","*","11340553"
"12017280213043","*","*","*","*","*","*","*","*","*","*","*","*","11340553"
"21175830985408","*","*","*","*","*","*","*","*","*","*","*","*","74770005"
"12015081000011","*","*","*","*","*","*","*","*","*","*","*","*","30270019"
"22606340000408","*","*","*","*","*","*","*","*","22","Criação em ranário","*","*","63623534"
"22606340000408","*","*","*","*","*","*","*","*","16","Criação em Tanques Escavados","51","Cria ou Multiplicação","63623534"
"23700440182408","*","*","*","*","*","*","*","*","*","*","*","*","30060006"
"22605050000408","*","*","*","*","*","*","*","*","21","Criação em áreas marinhas delimitadas","*","*","63623534"
"23105760989408","*","*","*","*","*","*","*","*","*","*","*","*","62570004"
"11175985259002","*","*","*","*","*","*","*","*","*","*","*","*","21165412"
"13124140000041","*","*","*","*","*","*","*","*","*","*","*","*","11215114"
"13124460000041","*","*","*","*","*","*","*","*","*","*","*","*","11217112"
"13126780000041","*","*","*","*","*","*","*","*","*","*","*","*","11317115"
"14032560000408","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12016780213053","*","*","*","*","*","*","*","*","*","*","*","*","11317555"
"12011840021051","*","*","*","*","*","*","*","*","*","*","*","*","11095509"
"11173380000408","*","*","*","*","*","*","*","*","*","*","*","*","32145005"
"13123600449042","*","*","*","*","*","*","*","*","*","*","*","*","11305000"
"12016480370052","*","*","*","*","*","*","*","*","*","*","*","*","11309006"
"12016480370042","*","*","*","*","*","*","*","*","*","*","*","*","11309006"
"22393830074408","*","*","*","*","*","*","*","*","*","*","70","Criação sob condições de bem-estar animal","63623534"
"22393830406408","*","*","*","*","*","*","*","*","*","*","70","Criação sob condições de bem-estar animal","63623534"
"11206720370408","*","*","*","*","*","*","*","*","*","*","*","*","31307363"
"11251260990002","*","*","*","*","*","*","*","*","*","*","*","*","32073005"
"12014600000043","*","*","*","*","*","*","*","*","*","*","*","*","11225001"
"11175800000008","*","*","*","*","*","*","*","*","*","*","*","*","32287004"
"12016740330011","*","*","*","*","*","*","*","*","*","*","*","*","11315801"
"12016740330021","*","*","*","*","*","*","*","*","*","*","*","*","11315801"
"23370859000008","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"11252890000002","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"11252560000002","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"11252560378002","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"11252560190002","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"11252560035002","*","*","*","*","*","*","*","*","*","*","*","*","35366364"
"12015880181041","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
"12015880371051","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
"12015880181051","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
"12015880371051","*","*","*","*","*","*","*","*","15","CULTIVO PROTEGIDO","*","*","11285113"
"12015240371041","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
"12015880181051","*","*","*","*","*","*","*","*","15","CULTIVO PROTEGIDO","*","*","11285113"
"12015240181041","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
"12015240371051","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
"12015240371051","*","*","*","*","*","*","*","*","15","CULTIVO PROTEGIDO","*","*","11285113"
"12015240181051","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
"12015240181051","*","*","*","*","*","*","*","*","15","CULTIVO PROTEGIDO","*","*","11285113"
"13125240371041","*","*","*","*","*","*","*","*","*","*","*","*","11285113"
